topic	relation	language	pos	lemma	orthography	features
Q27231	Demonym adjective	Q5146	adjectival	asiático oriental	asiáticas orientais	Q146786,Q1775415
Q27231	Demonym adjective	Q5146	adjectival	asiático oriental	asiática oriental	Q110786,Q1775415
Q27231	Demonym adjective	Q5146	adjectival	asiático oriental	asiáticos orientais	Q146786,Q499327
Q27231	Demonym adjective	Q5146	adjectival	asiático oriental	asiático oriental	Q110786,Q499327
Q3772774	Human denoting sense	Q5146	nominal	funileiro	funileiros	Q146786,Q499327
Q3772774	Human denoting sense	Q5146	nominal	funileiro	funileiro	Q110786,Q499327
Q3178634	Human denoting sense	Q5146	nominal	figura paterna	figuras paternas	Q146786,Q1775415
Q3178634	Human denoting sense	Q5146	nominal	figura paterna	figura paterna	Q110786,Q1775415
Q164714	Demonym noun	Q5146	nominal	dinamarquês	dinamarquesas	Q146786,Q1775415
Q164714	Demonym noun	Q5146	nominal	dinamarquês	dinamarquesa	Q110786,Q1775415
Q164714	Demonym noun	Q5146	nominal	dinamarquês	dinamarqueses	Q146786,Q499327
Q164714	Demonym noun	Q5146	nominal	dinamarquês	dinamarquês	Q110786,Q499327
Q1570744	Human denoting sense	Q5146	nominal	duque da calábria	duquesas da calábria	Q146786,Q1775415
Q1570744	Human denoting sense	Q5146	nominal	duque da calábria	duquesa da calábria	Q110786,Q1775415
Q1570744	Human denoting sense	Q5146	nominal	duque da calábria	duques da calábria	Q146786,Q499327
Q1570744	Human denoting sense	Q5146	nominal	duque da calábria	duque da calábria	Q110786,Q499327
Q664702	Human denoting sense	Q5146	nominal	casa de apostas	casas de apostas	Q146786,Q1775415
Q664702	Human denoting sense	Q5146	nominal	casa de apostas	casa de apostas	Q110786,Q1775415
Q664702	Human denoting sense	Q5146	nominal	casa de apostas	casas de apostas	Q146786,Q499327
Q664702	Human denoting sense	Q5146	nominal	casa de apostas	casa de apostas	Q110786,Q499327
Q169260	Demonym noun	Q5146	nominal	sarraceno	sarracenas	Q146786,Q1775415
Q169260	Demonym noun	Q5146	nominal	sarraceno	sarracena	Q110786,Q1775415
Q169260	Demonym noun	Q5146	nominal	sarraceno	sarracenos	Q146786,Q499327
Q169260	Demonym noun	Q5146	nominal	sarraceno	sarraceno	Q110786,Q499327
Q23754740	Human denoting sense	Q5146	nominal	estofador	estofadoras	Q146786,Q1775415
Q23754740	Human denoting sense	Q5146	nominal	estofador	estofadora	Q110786,Q1775415
Q23754740	Human denoting sense	Q5146	nominal	estofador	estofadores	Q146786,Q499327
Q23754740	Human denoting sense	Q5146	nominal	estofador	estofador	Q110786,Q499327
Q29	Demonym adjective	Q5146	adjectival	espanhol	espanholas	Q146786,Q1775415
Q29	Demonym adjective	Q5146	adjectival	espanhol	espanhola	Q110786,Q1775415
Q29	Demonym adjective	Q5146	adjectival	espanhol	espanhois	Q146786,Q499327
Q29	Demonym adjective	Q5146	adjectival	espanhol	espanhol	Q110786,Q499327
Q3580097	Human denoting sense	Q5146	nominal	professor pré-escolar	professoras pré-escolares	Q146786,Q1775415
Q3580097	Human denoting sense	Q5146	nominal	professor pré-escolar	professora pré-escolar	Q110786,Q1775415
Q3580097	Human denoting sense	Q5146	nominal	professor pré-escolar	professores pré-escolares	Q146786,Q499327
Q3580097	Human denoting sense	Q5146	nominal	professor pré-escolar	professor pré-escolar	Q110786,Q499327
Q175301	Human denoting sense	Q5146	nominal	redator de discursos	redatoras de discursos	Q146786,Q1775415
Q175301	Human denoting sense	Q5146	nominal	redator de discursos	redatora de discursos	Q110786,Q1775415
Q175301	Human denoting sense	Q5146	nominal	redator de discursos	redatores de discursos	Q146786,Q499327
Q175301	Human denoting sense	Q5146	nominal	redator de discursos	redator de discursos	Q110786,Q499327
Q288809	Demonym adjective	Q5146	adjectival	efique	efiques	Q146786,Q1775415
Q288809	Demonym adjective	Q5146	adjectival	efique	efique	Q110786,Q1775415
Q288809	Demonym adjective	Q5146	adjectival	efique	efiques	Q146786,Q499327
Q288809	Demonym adjective	Q5146	adjectival	efique	efique	Q110786,Q499327
Q2719946	Human denoting sense	Q5146	nominal	concubina	concubinas	Q146786,Q1775415
Q2719946	Human denoting sense	Q5146	nominal	concubina	concubina	Q110786,Q1775415
Q216151	Demonym noun	Q5146	nominal	vietnamita	vietnamitas	Q146786,Q1775415
Q216151	Demonym noun	Q5146	nominal	vietnamita	vietnamita	Q110786,Q1775415
Q216151	Demonym noun	Q5146	nominal	vietnamita	vietnamitas	Q146786,Q499327
Q216151	Demonym noun	Q5146	nominal	vietnamita	vietnamita	Q110786,Q499327
Q326358	Human denoting sense	Q5146	nominal	marceneiro	marceneiros	Q146786,Q499327
Q326358	Human denoting sense	Q5146	nominal	marceneiro	marceneiro	Q110786,Q499327
Q1537493	Demonym adjective	Q5146	adjectival	cru	cruas	Q146786,Q1775415
Q1537493	Demonym adjective	Q5146	adjectival	cru	crua	Q110786,Q1775415
Q1537493	Demonym adjective	Q5146	adjectival	cru	crus	Q146786,Q499327
Q1537493	Demonym adjective	Q5146	adjectival	cru	cru	Q110786,Q499327
Q15995642	Human denoting sense	Q5146	nominal	clérigo	clérigas	Q146786,Q1775415
Q15995642	Human denoting sense	Q5146	nominal	clérigo	clériga	Q110786,Q1775415
Q15995642	Human denoting sense	Q5146	nominal	clérigo	clérigos	Q146786,Q499327
Q15995642	Human denoting sense	Q5146	nominal	clérigo	clérigo	Q110786,Q499327
Q2046313	Human denoting sense	Q5146	nominal	radioterapeuta	radioterapeutas	Q146786,Q1775415
Q2046313	Human denoting sense	Q5146	nominal	radioterapeuta	radioterapeuta	Q110786,Q1775415
Q2046313	Human denoting sense	Q5146	nominal	radioterapeuta	radioterapeutas	Q146786,Q499327
Q2046313	Human denoting sense	Q5146	nominal	radioterapeuta	radioterapeuta	Q110786,Q499327
Q187897	Demonym noun	Q5146	nominal	tolteca	toltecas	Q146786,Q1775415
Q187897	Demonym noun	Q5146	nominal	tolteca	tolteca	Q110786,Q1775415
Q187897	Demonym noun	Q5146	nominal	tolteca	toltecas	Q146786,Q499327
Q187897	Demonym noun	Q5146	nominal	tolteca	tolteca	Q110786,Q499327
Q28441	Demonym noun	Q5146	nominal	são-luisense	são-luisenses	Q146786,Q1775415
Q28441	Demonym noun	Q5146	nominal	são-luisense	são-luisense	Q110786,Q1775415
Q28441	Demonym noun	Q5146	nominal	são-luisense	são-luisenses	Q146786,Q499327
Q28441	Demonym noun	Q5146	nominal	são-luisense	são-luisense	Q110786,Q499327
Q1731155	Human denoting sense	Q5146	nominal	orientalista	orientalistas	Q146786,Q1775415
Q1731155	Human denoting sense	Q5146	nominal	orientalista	orientalista	Q110786,Q1775415
Q1731155	Human denoting sense	Q5146	nominal	orientalista	orientalistas	Q146786,Q499327
Q1731155	Human denoting sense	Q5146	nominal	orientalista	orientalista	Q110786,Q499327
Q811122	Human denoting sense	Q5146	nominal	trabalhador da construção civil	trabalhadoras da construção civil	Q146786,Q1775415
Q811122	Human denoting sense	Q5146	nominal	trabalhador da construção civil	trabalhadora da construção civil	Q110786,Q1775415
Q811122	Human denoting sense	Q5146	nominal	trabalhador da construção civil	trabalhadores da construção civil	Q146786,Q499327
Q811122	Human denoting sense	Q5146	nominal	trabalhador da construção civil	trabalhador da construção civil	Q110786,Q499327
Q1540278	Human denoting sense	Q5146	nominal	governanta	governantas	Q146786,Q1775415
Q1540278	Human denoting sense	Q5146	nominal	governanta	governanta	Q110786,Q1775415
Q845748	Demonym noun	Q5146	nominal	kalash	kalashs	Q146786,Q1775415
Q845748	Demonym noun	Q5146	nominal	kalash	kalash	Q110786,Q1775415
Q845748	Demonym noun	Q5146	nominal	kalash	kalashs	Q146786,Q499327
Q845748	Demonym noun	Q5146	nominal	kalash	kalash	Q110786,Q499327
Q914752	Human denoting sense	Q5146	nominal	Lord-lieutenant	Lord-lieutenants	Q146786,Q499327
Q914752	Human denoting sense	Q5146	nominal	Lord-lieutenant	Lord-lieutenant	Q110786,Q499327
Q12220335	Human denoting sense	Q5146	nominal	sogro	sogras	Q146786,Q1775415
Q12220335	Human denoting sense	Q5146	nominal	sogro	sogra	Q110786,Q1775415
Q12220335	Human denoting sense	Q5146	nominal	sogro	sogros	Q146786,Q499327
Q12220335	Human denoting sense	Q5146	nominal	sogro	sogro	Q110786,Q499327
Q2854916	Human denoting sense	Q5146	nominal	otorrinolaringologista	otorrinolaringologistas	Q146786,Q1775415
Q2854916	Human denoting sense	Q5146	nominal	otorrinolaringologista	otorrinolaringologista	Q110786,Q1775415
Q2854916	Human denoting sense	Q5146	nominal	otorrinolaringologista	otorrinolaringologistas	Q146786,Q499327
Q2854916	Human denoting sense	Q5146	nominal	otorrinolaringologista	otorrinolaringologista	Q110786,Q499327
Q583271	Human denoting sense	Q5146	nominal	médium	médiuns	Q146786,Q1775415
Q583271	Human denoting sense	Q5146	nominal	médium	médium	Q110786,Q1775415
Q583271	Human denoting sense	Q5146	nominal	médium	médiuns	Q146786,Q499327
Q583271	Human denoting sense	Q5146	nominal	médium	médium	Q110786,Q499327
Q20748682	Human denoting sense	Q5146	nominal	vereador	vereadoras	Q146786,Q1775415
Q20748682	Human denoting sense	Q5146	nominal	vereador	vereadora	Q110786,Q1775415
Q20748682	Human denoting sense	Q5146	nominal	vereador	vereadores	Q146786,Q499327
Q20748682	Human denoting sense	Q5146	nominal	vereador	vereador	Q110786,Q499327
Q1287619	Demonym noun	Q5146	nominal	ye' kwana	ye' kwanas	Q146786,Q1775415
Q1287619	Demonym noun	Q5146	nominal	ye' kwana	ye' kwana	Q110786,Q1775415
Q1287619	Demonym noun	Q5146	nominal	ye' kwana	ye' kwanas	Q146786,Q499327
Q1287619	Demonym noun	Q5146	nominal	ye' kwana	ye' kwana	Q110786,Q499327
Q9316	Demonym noun	Q5146	nominal	sique	siques	Q146786,Q1775415
Q9316	Demonym noun	Q5146	nominal	sique	sique	Q110786,Q1775415
Q9316	Demonym noun	Q5146	nominal	sique	siques	Q146786,Q499327
Q9316	Demonym noun	Q5146	nominal	sique	sique	Q110786,Q499327
Q17126809	Human denoting sense	Q5146	nominal	socorrista	socorristas	Q146786,Q1775415
Q17126809	Human denoting sense	Q5146	nominal	socorrista	socorrista	Q110786,Q1775415
Q17126809	Human denoting sense	Q5146	nominal	socorrista	socorristas	Q146786,Q499327
Q17126809	Human denoting sense	Q5146	nominal	socorrista	socorrista	Q110786,Q499327
Q326203	Demonym adjective	Q5146	adjectival	bracarense	bracarenses	Q146786,Q1775415
Q326203	Demonym adjective	Q5146	adjectival	bracarense	bracarense	Q110786,Q1775415
Q326203	Demonym adjective	Q5146	adjectival	bracarense	bracarenses	Q146786,Q499327
Q326203	Demonym adjective	Q5146	adjectival	bracarense	bracarense	Q110786,Q499327
Q188201	Demonym adjective	Q5146	adjectival	bôer	bôeres	Q146786,Q1775415
Q188201	Demonym adjective	Q5146	adjectival	bôer	bôer	Q110786,Q1775415
Q188201	Demonym adjective	Q5146	adjectival	bôer	bôeres	Q146786,Q499327
Q188201	Demonym adjective	Q5146	adjectival	bôer	bôer	Q110786,Q499327
Q805253	Human denoting sense	Q5146	nominal	mestre de balé	mestres de balé	Q146786,Q1775415
Q805253	Human denoting sense	Q5146	nominal	mestre de balé	mestre de balé	Q110786,Q1775415
Q805253	Human denoting sense	Q5146	nominal	mestre de balé	mestres de balé	Q146786,Q499327
Q805253	Human denoting sense	Q5146	nominal	mestre de balé	mestre de balé	Q110786,Q499327
Q4011165	Human denoting sense	Q5146	nominal	vice-Presidente do Governo Regional	vice-Presidentas do Governo Regional	Q146786,Q1775415
Q4011165	Human denoting sense	Q5146	nominal	vice-Presidente do Governo Regional	vice-Presidenta do Governo Regional	Q110786,Q1775415
Q4011165	Human denoting sense	Q5146	nominal	vice-Presidente do Governo Regional	vice-Presidentes do Governo Regional	Q146786,Q499327
Q4011165	Human denoting sense	Q5146	nominal	vice-Presidente do Governo Regional	vice-Presidente do Governo Regional	Q110786,Q499327
Q2615416	Demonym noun	Q5146	nominal	luso-brasileiro	luso-brasileiras	Q146786,Q1775415
Q2615416	Demonym noun	Q5146	nominal	luso-brasileiro	luso-brasileira	Q110786,Q1775415
Q2615416	Demonym noun	Q5146	nominal	luso-brasileiro	luso-brasileiros	Q146786,Q499327
Q2615416	Demonym noun	Q5146	nominal	luso-brasileiro	luso-brasileiro	Q110786,Q499327
Q1198553	Human denoting sense	Q5146	nominal	lançador secundário	lançadoras secundárias	Q146786,Q1775415
Q1198553	Human denoting sense	Q5146	nominal	lançador secundário	lançadora secundária	Q110786,Q1775415
Q1198553	Human denoting sense	Q5146	nominal	lançador secundário	lançadores secundários	Q146786,Q499327
Q1198553	Human denoting sense	Q5146	nominal	lançador secundário	lançador secundário	Q110786,Q499327
Q550594	Human denoting sense	Q5146	nominal	peixeiro	peixeiros	Q146786,Q499327
Q550594	Human denoting sense	Q5146	nominal	peixeiro	peixeiro	Q110786,Q499327
Q117244	Demonym adjective	Q5146	adjectival	arauaque	arauaquas	Q146786,Q1775415
Q117244	Demonym adjective	Q5146	adjectival	arauaque	arauaqua	Q110786,Q1775415
Q117244	Demonym adjective	Q5146	adjectival	arauaque	arauaques	Q146786,Q499327
Q117244	Demonym adjective	Q5146	adjectival	arauaque	arauaque	Q110786,Q499327
Q965	Demonym adjective	Q5146	adjectival	burquinense	burquinenses	Q146786,Q1775415
Q965	Demonym adjective	Q5146	adjectival	burquinense	burquinense	Q110786,Q1775415
Q965	Demonym adjective	Q5146	adjectival	burquinense	burquinenses	Q146786,Q499327
Q965	Demonym adjective	Q5146	adjectival	burquinense	burquinense	Q110786,Q499327
Q728425	Human denoting sense	Q5146	nominal	balonista	balonistas	Q146786,Q1775415
Q728425	Human denoting sense	Q5146	nominal	balonista	balonista	Q110786,Q1775415
Q728425	Human denoting sense	Q5146	nominal	balonista	balonistas	Q146786,Q499327
Q728425	Human denoting sense	Q5146	nominal	balonista	balonista	Q110786,Q499327
Q747580	Demonym adjective	Q5146	adjectival	mingrélio	mingrélias	Q146786,Q1775415
Q747580	Demonym adjective	Q5146	adjectival	mingrélio	mingrélia	Q110786,Q1775415
Q747580	Demonym adjective	Q5146	adjectival	mingrélio	mingrélios	Q146786,Q499327
Q747580	Demonym adjective	Q5146	adjectival	mingrélio	mingrélio	Q110786,Q499327
Q564612	Human denoting sense	Q5146	nominal	diretor jurídico	diretoras jurídicas	Q146786,Q1775415
Q564612	Human denoting sense	Q5146	nominal	diretor jurídico	diretora jurídica	Q110786,Q1775415
Q564612	Human denoting sense	Q5146	nominal	diretor jurídico	diretores jurídicos	Q146786,Q499327
Q564612	Human denoting sense	Q5146	nominal	diretor jurídico	diretor jurídico	Q110786,Q499327
Q4115780	Human denoting sense	Q5146	nominal	oficial de saúde ambiental	oficiais de saúde ambiental	Q146786,Q1775415
Q4115780	Human denoting sense	Q5146	nominal	oficial de saúde ambiental	oficial de saúde ambiental	Q110786,Q1775415
Q4115780	Human denoting sense	Q5146	nominal	oficial de saúde ambiental	oficiais de saúde ambiental	Q146786,Q499327
Q4115780	Human denoting sense	Q5146	nominal	oficial de saúde ambiental	oficial de saúde ambiental	Q110786,Q499327
Q1542227	Demonym noun	Q5146	nominal	toba	tobas	Q146786,Q1775415
Q1542227	Demonym noun	Q5146	nominal	toba	toba	Q110786,Q1775415
Q1542227	Demonym noun	Q5146	nominal	toba	tobas	Q146786,Q499327
Q1542227	Demonym noun	Q5146	nominal	toba	toba	Q110786,Q499327
Q177718	Human denoting sense	Q5146	nominal	sideman	sidemen	Q146786,Q499327
Q177718	Human denoting sense	Q5146	nominal	sideman	sideman	Q110786,Q499327
Q548031	Human denoting sense	Q5146	nominal	construtor de barcos	construtoras de barcos	Q146786,Q1775415
