topic	relation	language	pos	lemma	orthography	features
Q501768	Demonym adjective	Q1321	adjectival	berberisco	berberiscas	Q146786,Q1775415
Q501768	Demonym adjective	Q1321	adjectival	berberisco	berberisca	Q110786,Q1775415
Q501768	Demonym adjective	Q1321	adjectival	berberisco	berberiscos	Q146786,Q499327
Q501768	Demonym adjective	Q1321	adjectival	berberisco	berberisco	Q110786,Q499327
Q1861368	Human denoting sense	Q1321	nominal	tatuador	tatuadoras	Q146786,Q1775415
Q1861368	Human denoting sense	Q1321	nominal	tatuador	tatuadora	Q110786,Q1775415
Q1861368	Human denoting sense	Q1321	nominal	tatuador	tatuadores	Q146786,Q499327
Q1861368	Human denoting sense	Q1321	nominal	tatuador	tatuador	Q110786,Q499327
Q184922	Demonym noun	Q1321	nominal	udmurto	udmurtas	Q146786,Q1775415
Q184922	Demonym noun	Q1321	nominal	udmurto	udmurta	Q110786,Q1775415
Q184922	Demonym noun	Q1321	nominal	udmurto	udmurtos	Q146786,Q499327
Q184922	Demonym noun	Q1321	nominal	udmurto	udmurto	Q110786,Q499327
Q2841	Demonym noun	Q1321	nominal	bogotano	bogotanas	Q146786,Q1775415
Q2841	Demonym noun	Q1321	nominal	bogotano	bogotana	Q110786,Q1775415
Q2841	Demonym noun	Q1321	nominal	bogotano	bogotanos	Q146786,Q499327
Q2841	Demonym noun	Q1321	nominal	bogotano	bogotano	Q110786,Q499327
Q1042001	Demonym noun	Q1321	nominal	polinesio	polinesias	Q146786,Q1775415
Q1042001	Demonym noun	Q1321	nominal	polinesio	polinesia	Q110786,Q1775415
Q1042001	Demonym noun	Q1321	nominal	polinesio	polinesios	Q146786,Q499327
Q1042001	Demonym noun	Q1321	nominal	polinesio	polinesio	Q110786,Q499327
Q3592635	Human denoting sense	Q1321	nominal	estudiante	estudiantes	Q146786,Q1775415
Q3592635	Human denoting sense	Q1321	nominal	estudiante	estudiante	Q110786,Q1775415
Q3592635	Human denoting sense	Q1321	nominal	estudiante	estudiantes	Q146786,Q499327
Q3592635	Human denoting sense	Q1321	nominal	estudiante	estudiante	Q110786,Q499327
Q65146868	Human denoting sense	Q1321	nominal	multitalento	multitalentos	Q146786,Q1775415
Q65146868	Human denoting sense	Q1321	nominal	multitalento	multitalento	Q110786,Q1775415
Q65146868	Human denoting sense	Q1321	nominal	multitalento	multitalentos	Q146786,Q499327
Q65146868	Human denoting sense	Q1321	nominal	multitalento	multitalento	Q110786,Q499327
Q319544	Human denoting sense	Q1321	nominal	secretario	secretarias	Q146786,Q1775415
Q319544	Human denoting sense	Q1321	nominal	secretario	secretaria	Q110786,Q1775415
Q319544	Human denoting sense	Q1321	nominal	secretario	secretarios	Q146786,Q499327
Q319544	Human denoting sense	Q1321	nominal	secretario	secretario	Q110786,Q499327
Q594819	Human denoting sense	Q1321	nominal	mayordomo de palacio	mayordomas de palacio	Q146786,Q1775415
Q594819	Human denoting sense	Q1321	nominal	mayordomo de palacio	mayordoma de palacio	Q110786,Q1775415
Q594819	Human denoting sense	Q1321	nominal	mayordomo de palacio	mayordomos de palacio	Q146786,Q499327
Q594819	Human denoting sense	Q1321	nominal	mayordomo de palacio	mayordomo de palacio	Q110786,Q499327
Q95015	Demonym adjective	Q1321	adjectival	oscense	oscenses	Q146786,Q1775415
Q95015	Demonym adjective	Q1321	adjectival	oscense	oscense	Q110786,Q1775415
Q95015	Demonym adjective	Q1321	adjectival	oscense	oscenses	Q146786,Q499327
Q95015	Demonym adjective	Q1321	adjectival	oscense	oscense	Q110786,Q499327
Q871904	Demonym noun	Q1321	nominal	neozelandés	neozelandesas	Q146786,Q1775415
Q871904	Demonym noun	Q1321	nominal	neozelandés	neozelandesa	Q110786,Q1775415
Q871904	Demonym noun	Q1321	nominal	neozelandés	neozelandeses	Q146786,Q499327
Q871904	Demonym noun	Q1321	nominal	neozelandés	neozelandés	Q110786,Q499327
Q1563	Demonym adjective	Q1321	adjectival	habanero	habaneras	Q146786,Q1775415
Q1563	Demonym adjective	Q1321	adjectival	habanero	habanera	Q110786,Q1775415
Q1563	Demonym adjective	Q1321	adjectival	habanero	habaneros	Q146786,Q499327
Q1563	Demonym adjective	Q1321	adjectival	habanero	habanero	Q110786,Q499327
Q1339677	Human denoting sense	Q1321	nominal	exploradora	exploradoras	Q146786,Q1775415
Q1339677	Human denoting sense	Q1321	nominal	exploradora	exploradora	Q110786,Q1775415
Q44805	Demonym adjective	Q1321	adjectival	sanjuanino	sanjuaninas	Q146786,Q1775415
Q44805	Demonym adjective	Q1321	adjectival	sanjuanino	sanjuanina	Q110786,Q1775415
Q44805	Demonym adjective	Q1321	adjectival	sanjuanino	sanjuaninos	Q146786,Q499327
Q44805	Demonym adjective	Q1321	adjectival	sanjuanino	sanjuanino	Q110786,Q499327
Q215536	Human denoting sense	Q1321	nominal	comerciante	comerciantes	Q146786,Q1775415
Q215536	Human denoting sense	Q1321	nominal	comerciante	comerciante	Q110786,Q1775415
Q215536	Human denoting sense	Q1321	nominal	comerciante	comerciantes	Q146786,Q499327
Q215536	Human denoting sense	Q1321	nominal	comerciante	comerciante	Q110786,Q499327
Q242360	Demonym adjective	Q1321	adjectival	chatria	chatrias	Q146786,Q1775415
Q242360	Demonym adjective	Q1321	adjectival	chatria	chatria	Q110786,Q1775415
Q242360	Demonym adjective	Q1321	adjectival	chatria	chatria	Q146786,Q499327
Q242360	Demonym adjective	Q1321	adjectival	chatria	chatria	Q110786,Q499327
Q142	Demonym adjective	Q1321	adjectival	francés	francesas	Q146786,Q1775415
Q142	Demonym adjective	Q1321	adjectival	francés	francesa	Q110786,Q1775415
Q142	Demonym adjective	Q1321	adjectival	francés	franceses	Q146786,Q499327
Q142	Demonym adjective	Q1321	adjectival	francés	francés	Q110786,Q499327
Q56316287	Human denoting sense	Q1321	nominal	vendedor de productos lácteos	vendedoras de productos lácteos	Q146786,Q1775415
Q56316287	Human denoting sense	Q1321	nominal	vendedor de productos lácteos	vendedora de productos lácteos	Q110786,Q1775415
Q56316287	Human denoting sense	Q1321	nominal	vendedor de productos lácteos	vendedores de productos lácteos	Q146786,Q499327
Q56316287	Human denoting sense	Q1321	nominal	vendedor de productos lácteos	vendedor de productos lácteos	Q110786,Q499327
Q139648	Human denoting sense	Q1321	nominal	evangelista tecnológico	evangelistas tecnológicos	Q146786,Q1775415
Q139648	Human denoting sense	Q1321	nominal	evangelista tecnológico	evangelista tecnológico	Q110786,Q1775415
Q139648	Human denoting sense	Q1321	nominal	evangelista tecnológico	evangelistas tecnológicos	Q146786,Q499327
Q139648	Human denoting sense	Q1321	nominal	evangelista tecnológico	evangelista tecnológico	Q110786,Q499327
Q47690	Demonym adjective	Q1321	adjectival	babilonio	babilonias	Q146786,Q1775415
Q47690	Demonym adjective	Q1321	adjectival	babilonio	babilonia	Q110786,Q1775415
Q47690	Demonym adjective	Q1321	adjectival	babilonio	babilonios	Q146786,Q499327
Q47690	Demonym adjective	Q1321	adjectival	babilonio	babilonio	Q110786,Q499327
Q11085831	Human denoting sense	Q1321	nominal	intérprete	intérpretes	Q146786,Q1775415
Q11085831	Human denoting sense	Q1321	nominal	intérprete	intérprete	Q110786,Q1775415
Q11085831	Human denoting sense	Q1321	nominal	intérprete	intérpretes	Q146786,Q499327
Q11085831	Human denoting sense	Q1321	nominal	intérprete	intérprete	Q110786,Q499327
Q79	Demonym adjective	Q1321	adjectival	egipcio	egipcias	Q146786,Q1775415
Q79	Demonym adjective	Q1321	adjectival	egipcio	egipcia	Q110786,Q1775415
Q79	Demonym adjective	Q1321	adjectival	egipcio	egipcios	Q146786,Q499327
Q79	Demonym adjective	Q1321	adjectival	egipcio	egipcio	Q110786,Q499327
Q17337766	Human denoting sense	Q1321	nominal	crítico de teatro	críticas de teatro	Q146786,Q1775415
Q17337766	Human denoting sense	Q1321	nominal	crítico de teatro	crítica de teatro	Q110786,Q1775415
Q17337766	Human denoting sense	Q1321	nominal	crítico de teatro	críticos de teatro	Q146786,Q499327
Q17337766	Human denoting sense	Q1321	nominal	crítico de teatro	crítico de teatro	Q110786,Q499327
Q1416754	Human denoting sense	Q1321	nominal	monitor	monitoras	Q146786,Q1775415
Q1416754	Human denoting sense	Q1321	nominal	monitor	monitora	Q110786,Q1775415
Q1416754	Human denoting sense	Q1321	nominal	monitor	monitores	Q146786,Q499327
Q1416754	Human denoting sense	Q1321	nominal	monitor	monitor	Q110786,Q499327
Q3953	Demonym adjective	Q1321	adjectival	kalmuko	kalmukas	Q146786,Q1775415
Q3953	Demonym adjective	Q1321	adjectival	kalmuko	kalmuka	Q110786,Q1775415
Q3953	Demonym adjective	Q1321	adjectival	kalmuko	kalmukos	Q146786,Q499327
Q3953	Demonym adjective	Q1321	adjectival	kalmuko	kalmuko	Q110786,Q499327
Q874894	Human denoting sense	Q1321	nominal	escaparatista	escaparatistas	Q146786,Q1775415
Q874894	Human denoting sense	Q1321	nominal	escaparatista	escaparatista	Q110786,Q1775415
Q874894	Human denoting sense	Q1321	nominal	escaparatista	escaparatistas	Q146786,Q499327
Q874894	Human denoting sense	Q1321	nominal	escaparatista	escaparatista	Q110786,Q499327
Q4357164	Human denoting sense	Q1321	nominal	dōshin	dōshin	Q146786,Q1775415
Q4357164	Human denoting sense	Q1321	nominal	dōshin	dōshin	Q110786,Q1775415
Q4357164	Human denoting sense	Q1321	nominal	dōshin	dōshin	Q146786,Q499327
Q4357164	Human denoting sense	Q1321	nominal	dōshin	dōshin	Q110786,Q499327
Q500393	Demonym adjective	Q1321	adjectival	brigante	brigantes	Q146786,Q1775415
Q500393	Demonym adjective	Q1321	adjectival	brigante	brigante	Q110786,Q1775415
Q500393	Demonym adjective	Q1321	adjectival	brigante	brigantes	Q146786,Q499327
Q500393	Demonym adjective	Q1321	adjectival	brigante	brigante	Q110786,Q499327
Q1353723	Demonym noun	Q1321	nominal	turdetano	turdetanas	Q146786,Q1775415
Q1353723	Demonym noun	Q1321	nominal	turdetano	turdetana	Q110786,Q1775415
Q1353723	Demonym noun	Q1321	nominal	turdetano	turdetanos	Q146786,Q499327
Q1353723	Demonym noun	Q1321	nominal	turdetano	turdetano	Q110786,Q499327
Q757258	Demonym adjective	Q1321	adjectival	guna	gunas	Q146786,Q1775415
Q757258	Demonym adjective	Q1321	adjectival	guna	guna	Q110786,Q1775415
Q757258	Demonym adjective	Q1321	adjectival	guna	gunas	Q146786,Q499327
Q757258	Demonym adjective	Q1321	adjectival	guna	guna	Q110786,Q499327
Q3492027	Human denoting sense	Q1321	nominal	submarinista	submarinistas	Q146786,Q1775415
Q3492027	Human denoting sense	Q1321	nominal	submarinista	submarinista	Q110786,Q1775415
